match_id;mode;hero;hero_deck;opponent;opponent_deck;coin;result
65471464;ranked;Warrior;Pirate;Warlock;Reno;FALSE;win
65470947;ranked;Warrior;;Shaman;;TRUE;loss
65470860;ranked;Warrior;Pirate;Hunter;;FALSE;win
65470449;ranked;Warrior;;Hunter;;FALSE;loss
65470378;ranked;Warrior;Pirate;Warrior;Pirate;TRUE;win
65469600;ranked;Warrior;;Mage;;TRUE;loss
65469514;ranked;Warrior;Pirate;Mage;Reno;TRUE;win
65469008;ranked;Warrior;;Druid;;FALSE;loss
65468914;ranked;Warrior;Pirate;Rogue;;FALSE;win
65468440;ranked;Warrior;;Paladin;;FALSE;loss
65468393;ranked;Warrior;Pirate;Shaman;;TRUE;win
65468017;ranked;Warrior;;Shaman;;TRUE;loss
65467922;ranked;Warrior;Pirate;Mage;Tempo;FALSE;win
65467096;ranked;Warrior;Pirate;Mage;Tempo;FALSE;loss
65466363;ranked;Warrior;Pirate;Priest;;FALSE;win
65465956;ranked;Warrior;;Priest;;FALSE;loss
65465814;ranked;Warrior;Pirate;Priest;;TRUE;win
65465440;ranked;Warrior;;Paladin;;FALSE;loss
65465351;ranked;Warrior;Pirate;Shaman;;FALSE;win
65464922;ranked;Warrior;;Paladin;;TRUE;loss
65464754;ranked;Warrior;Pirate;Rogue;;TRUE;win
65443048;ranked;Rogue;;Warrior;Pirate;FALSE;loss
65440986;ranked;Shaman;Jade;Rogue;Jade;TRUE;win
65438294;ranked;Shaman;Aggro;Shaman;Aggro;TRUE;loss
65437284;ranked;Shaman;Aggro;Warlock;Zoo;TRUE;loss
65436323;ranked;Shaman;Aggro;Warrior;Pirate;FALSE;win
65435407;ranked;Shaman;Aggro;Warlock;Reno;FALSE;win
65434645;ranked;Shaman;Aggro;Shaman;Aggro;TRUE;win
65433950;ranked;Shaman;Aggro;Priest;;FALSE;win
65433507;ranked;Shaman;Aggro;Shaman;Aggro;TRUE;win
65432682;ranked;Shaman;Control;Rogue;Miracle;FALSE;loss
65431723;ranked;Shaman;Control;Rogue;Jade;FALSE;loss
65429685;ranked;Shaman;Control;Druid;Jade;TRUE;loss
65428083;ranked;Shaman;Control;Paladin;;TRUE;win
65427119;ranked;Shaman;Control;Paladin;;TRUE;win
65425294;ranked;Shaman;Jade;Warrior;Control;FALSE;loss
65423450;ranked;Shaman;Jade;Warrior;Pirate;FALSE;win
65422219;ranked;Shaman;Jade;Warrior;Dragon;TRUE;win
65420889;ranked;Shaman;Jade;Paladin;;TRUE;loss
65419609;ranked;Shaman;Aggro;Hunter;Midrange;FALSE;win
65348755;ranked;Warrior;Control;Mage;Reno;FALSE;loss
65347175;ranked;Warrior;Control;Rogue;;FALSE;win
65346347;ranked;Warrior;Control;Warlock;Reno;FALSE;win
65470499;ranked;Mage;Reno;Paladin;;TRUE;loss
65467821;ranked;Mage;Reno;Shaman;;FALSE;win
65467176;ranked;Mage;Reno;Shaman;Jade;FALSE;win
65335192;ranked;Shaman;Jade;Warlock;Reno;FALSE;loss
65446615;ranked;Warrior;Control;Warlock;Reno;FALSE;loss
65444472;ranked;Warrior;;Druid;;FALSE;loss
65443748;ranked;Warrior;Control;Warlock;Zoo;TRUE;loss
65441472;ranked;Warrior;Control;Shaman;Control;FALSE;loss
65438286;ranked;Warrior;Control;Druid;;FALSE;win
65436607;ranked;Warrior;Control;Warrior;Control;TRUE;loss
65433372;ranked;Warrior;Control;Paladin;Murloc;FALSE;win
65431887;ranked;Warrior;Control;Rogue;Jade;FALSE;win
65430515;ranked;Warrior;Control;Paladin;;TRUE;win
65427138;ranked;Warrior;Control;Hunter;Midrange;FALSE;win
65426040;ranked;Warrior;Control;Mage;Reno;TRUE;win
65422852;ranked;Warrior;Control;Warrior;Pirate;FALSE;win
65421399;ranked;Warrior;Control;Hunter;Midrange;TRUE;win
65420320;ranked;Warrior;Control;Paladin;;FALSE;loss
65418784;ranked;Warrior;Control;Druid;;FALSE;win
65416387;ranked;Mage;Tempo;Druid;;FALSE;loss
65415669;ranked;Mage;Tempo;Warrior;Control;TRUE;loss
65413722;ranked;Mage;Tempo;Mage;Tempo;FALSE;loss
65412721;ranked;Mage;Tempo;Druid;;TRUE;loss
