artist,attack,cardClass,collectible,cost,dbfId,flavor,health,id,name,playerClass,rarity,referencedTags/0,set,text,type,mechanics/0,howToEarnGolden,race,howToEarn,playRequirements/REQ_MINION_TARGET,playRequirements/REQ_TARGET_MIN_ATTACK,playRequirements/REQ_TARGET_TO_PLAY,mechanics/1,targetingArrowText,playRequirements/REQ_ENEMY_TARGET,playRequirements/REQ_NUM_MINION_SLOTS,playRequirements/REQ_TARGET_MAX_ATTACK,elite,faction,playRequirements/REQ_FRIENDLY_TARGET,playRequirements/REQ_NONSELF_TARGET,playRequirements/REQ_TARGET_IF_AVAILABLE,playRequirements/REQ_TARGET_WITH_DEATHRATTLE,playRequirements/REQ_TARGET_WITH_RACE,durability,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,overload,playRequirements/REQ_MINIMUM_ENEMY_MINIONS,entourage/0,entourage/1,entourage/2,entourage/3,entourage/4,entourage/5,entourage/6,entourage/7,entourage/8,entourage/9,spellDamage,classes/0,classes/1,classes/2,multiClassGroup,playRequirements/REQ_STEALTHED_TARGET,playRequirements/REQ_TARGET_FOR_COMBO,playRequirements/REQ_FROZEN_TARGET,referencedTags/1,collectionText,playRequirements/REQ_MINION_SLOT_OR_MANA_CRYSTAL_SLOT,mechanics/2,mechanics/3,playRequirements/REQ_HERO_TARGET,playRequirements/REQ_LEGENDARY_TARGET,playRequirements/REQ_MUST_TARGET_TAUNTER,playRequirements/REQ_TARGET_IF_AVAILABE_AND_ELEMENTAL_PLAYED_LAST_TURN,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,playRequirements/REQ_MINIMUM_TOTAL_MINIONS,playRequirements/REQ_WEAPON_EQUIPPED,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_SECRETS,playRequirements/REQ_DAMAGED_TARGET,playRequirements/REQ_UNDAMAGED_TARGET,playRequirements/REQ_FRIENDLY_MINION_DIED_THIS_GAME,referencedTags/2
Jakub Kasper,4,NEUTRAL,true,4,2518,The crowd ALWAYS yells lethal.,4,AT_121,Crowd Favorite,NEUTRAL,EPIC,BATTLECRY,TGT,"Whenever you play a card with <b>Battlecry</b>, gain +1/+1.",MINION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauricio Herrera,3,WARRIOR,true,3,40569,"""I don't know a lot about used GvG cards, so I'm going to have to call in an expert.""",3,CFM_755,Grimestreet Pawnbroker,WARRIOR,RARE,,GANGS,<b>Battlecry:</b> Give a random weapon in your hand +1/+1.,MINION,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ittoku,2,NEUTRAL,true,4,1370,His dreams of flying and breathing fire like his idol will never be realized.,7,CS2_119,Oasis Snapjaw,NEUTRAL,FREE,,CORE,,MINION,,Unlocked at Druid Level 51.,BEAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymond Swanland,,PRIEST,true,3,1363,"If you miss, it leaves a lightning-bolt-shaped scar on your target.",,EX1_622,Shadow Word: Death,PRIEST,FREE,,CORE,Destroy a minion with 5 or more Attack.,SPELL,,Unlocked at Level 43.,,Unlocked at Level 8.,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esad Ribic,2,NEUTRAL,true,3,2579,He used to be a librarian.  Old habits die hard.,2,AT_095,Silent Knight,NEUTRAL,COMMON,,TGT,"<b>Stealth</b>
<b>Divine Shield</b>",MINION,DIVINE_SHIELD,,,,,,,STEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Neimeister,5,WARLOCK,true,3,40598,Get the ingredients wrong on ONE healing potion and they take your license. What a world!,5,CFM_900,Unlicensed Apothecary,WARLOCK,EPIC,,GANGS,"Whenever you summon a minion, deal 5 damage to your hero.",MINION,,,DEMON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Greke,,SHAMAN,true,4,41521,Also good for removing pesky stains.,,UNG_817,Tidal Surge,SHAMAN,COMMON,,UNGORO,Deal $4 damage to a minion. Restore #4 Health to your hero.,SPELL,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seamus Gallagher,9,NEUTRAL,true,9,2520,You have no idea how tired this guy is of being released.,7,AT_103,North Sea Kraken,NEUTRAL,COMMON,,TGT,<b>Battlecry:</b> Deal 4 damage.,MINION,BATTLECRY,,,,,,0,,Deal 4 damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HUNTER,true,,31,,30,HERO_05,Rexxar,HUNTER,FREE,,CORE,,HERO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sojin Hwang,2,ROGUE,true,2,41208,The reason why there are no zombies in Un'goro.,2,UNG_058,Razorpetal Lasher,ROGUE,COMMON,,UNGORO,"[x]<b>Battlecry:</b> Add a
Razorpetal to your hand
that deals 1 damage.",MINION,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
